,base_model,base_model_size,data,workload,model,model_param_name_1,model_param_value_1,model_param_name_2,model_param_value_2,ratio,size_1,size_2,model_size
0,DREAM,2359416,DBLP,CLIQUE,DREAM,ch-es,500,,0.0,1.0,2359416,0,2359416
1,DREAM,2359416,DBLP,CLIQUE,LPLM,hidden-dim,383,,0.0,1.0,2354677,0,2354677
2,DREAM,2359416,DBLP,CLIQUE,CLIQUE-020,rnn-hs,99,max-entry-ratio,10.85983203125,0.2,471605,1887052,2358657
3,DREAM,2359416,DBLP,CLIQUE,CLIQUE-040,rnn-hs,171,max-entry-ratio,8.0670029296875,0.4,938037,1415458,2353495
4,DREAM,2359416,DBLP,CLIQUE,CLIQUE-060,rnn-hs,226,max-entry-ratio,4.97145458984375,0.6,1406325,943724,2350049
5,DREAM,2359416,DBLP,CLIQUE,CLIQUE-080,rnn-hs,273,max-entry-ratio,2.265291076660157,0.8,1883189,471862,2355051
6,LPLM,2996533,WIKI,LPLM20,DREAM,ch-es,106,,0.0,1.0,2995000,0,2995000
7,LPLM,2996533,WIKI,LPLM20,LPLM,hidden-dim,384,,0.0,1.0,2996533,0,2996533
8,LPLM,2448181,IMDB,LPLM20,DREAM,ch-es,524,,0.0,1.0,2446840,0,2446840
9,LPLM,2448181,IMDB,LPLM20,LPLM,hidden-dim,384,,0.0,1.0,2448181,0,2448181
10,LPLM,2365237,DBLP,LPLM20,DREAM,ch-es,502,,0.0,1.0,2364088,0,2364088
11,LPLM,2365237,DBLP,LPLM20,LPLM,hidden-dim,384,,0.0,1.0,2365237,0,2365237
12,LPLM,2093365,GENE,LPLM20,DREAM,ch-es,429,,0.0,1.0,2092600,0,2092600
13,LPLM,2093365,GENE,LPLM20,LPLM,hidden-dim,384,,0.0,1.0,2093365,0,2093365
14,LPLM,2319157,AUTHOR,LPLM20,DREAM,ch-es,491,,0.0,1.0,2318776,0,2318776
15,LPLM,2319157,AUTHOR,LPLM20,LPLM,hidden-dim,384,,0.0,1.0,2319157,0,2319157
16,DREAM,2241400,GENE,CLIQUE,DREAM,ch-es,500,,0.0,1.0,2241400,0,2241400
17,DREAM,2241400,GENE,CLIQUE,LPLM,hidden-dim,398,,0.0,1.0,2234805,0,2234805
18,DREAM,2339448,AUTHOR,CLIQUE,DREAM,ch-es,500,,0.0,1.0,2339448,0,2339448
19,LPLM,2996533,WIKI,LPLM20,CLIQUE-100,rnn-hs,238,,,1.0,2987573,0,2987573
20,LPLM,2448181,IMDB,LPLM20,CLIQUE-100,rnn-hs,320,,,1.0,2436533,0,2436533
21,LPLM,2365237,DBLP,LPLM20,CLIQUE-100,rnn-hs,314,,,1.0,2356597,0,2356597
22,LPLM,2093365,GENE,LPLM20,CLIQUE-100,rnn-hs,293,,,1.0,2083829,0,2083829
23,LPLM,2319157,AUTHOR,LPLM20,CLIQUE-100,rnn-hs,311,,,1.0,2316213,0,2316213
24,DREAM,2359416,DBLP,CLIQUE,CLIQUE-100,rnn-hs,314,,,1.0,2356597,0,2356597
