,base_model,base_model_size,data,workload,model,model_param_name_1,model_param_value_1,model_param_name_2,model_param_value_2,ratio,size_1,size_2,model_size
0,LPLM,2996533,WIKI,LPLM20,DREAM,ch-es,106,,,1,2995000,0,2995000
1,LPLM,2996533,WIKI,LPLM20,LPLM,hidden-dim,384,,,1,2996533,0,2996533
2,LPLM,2448181,IMDB,LPLM20,DREAM,ch-es,524,,,1,2446840,0,2446840
3,LPLM,2448181,IMDB,LPLM20,LPLM,hidden-dim,384,,,1,2448181,0,2448181
4,LPLM,2365237,DBLP,LPLM20,DREAM,ch-es,502,,,1,2364088,0,2364088
5,LPLM,2365237,DBLP,LPLM20,LPLM,hidden-dim,384,,,1,2365237,0,2365237
6,LPLM,2093365,GENE,LPLM20,DREAM,ch-es,429,,,1,2092600,0,2092600
7,LPLM,2093365,GENE,LPLM20,LPLM,hidden-dim,384,,,1,2093365,0,2093365
8,LPLM,2319157,AUTHOR,LPLM20,DREAM,ch-es,491,,,1,2318776,0,2318776
9,LPLM,2319157,AUTHOR,LPLM20,LPLM,hidden-dim,384,,,1,2319157,0,2319157
10,DREAM,9691448,WIKI,CLIQUE,DREAM,ch-es,500,,,1,9691448,0,9691448
11,DREAM,9691448,WIKI,CLIQUE,LPLM,hidden-dim,777,,,1,9677621,0,9677621
12,DREAM,2389432,IMDB,CLIQUE,DREAM,ch-es,500,,,1,2389432,0,2389432
13,DREAM,2389432,IMDB,CLIQUE,LPLM,hidden-dim,378,,,1,2383477,0,2383477
14,DREAM,2359416,DBLP,CLIQUE,DREAM,ch-es,500,,,1,2359416,0,2359416
15,DREAM,2359416,DBLP,CLIQUE,LPLM,hidden-dim,383,,,1,2354677,0,2354677
16,DREAM,2241400,GENE,CLIQUE,DREAM,ch-es,500,,,1,2241400,0,2241400
17,DREAM,2241400,GENE,CLIQUE,LPLM,hidden-dim,398,,,1,2234805,0,2234805
18,DREAM,2339448,AUTHOR,CLIQUE,DREAM,ch-es,500,,,1,2339448,0,2339448
19,DREAM,2339448,AUTHOR,CLIQUE,LPLM,hidden-dim,385,,,1,2329781,0,2329781
20,AstridEach,6399027,WIKI,Astrid,DREAM,ch-es,306,,,1,6394232,0,6394232
21,AstridEach,6399027,WIKI,Astrid,LPLM,hidden-dim,610,,,1,6385717,0,6385717
22,AstridEach,3425331,IMDB,Astrid,DREAM,ch-es,933,,,1,3425144,0,3425144
23,AstridEach,3425331,IMDB,Astrid,LPLM,hidden-dim,466,,,1,3419125,0,3419125
24,AstridEach,3032115,DBLP,Astrid,DREAM,ch-es,788,,,1,3031032,0,3031032
25,AstridEach,3032115,DBLP,Astrid,LPLM,hidden-dim,442,,,1,3022709,0,3022709
26,AstridEach,1582131,GENE,Astrid,DREAM,ch-es,185,,,1,1581176,0,1581176
27,AstridEach,1582131,GENE,Astrid,LPLM,hidden-dim,328,,,1,1574901,0,1574901
28,AstridEach,2786355,AUTHOR,Astrid,DREAM,ch-es,694,,,1,2784056,0,2784056
29,AstridEach,2786355,AUTHOR,Astrid,LPLM,hidden-dim,426,,,1,2782133,0,2782133
1,DREAM,2359416,DBLP,CLIQUE,LPLM,hidden-dim,383,,0.0,1.0,2354677,0,2354677
2,DREAM,2359416,DBLP,CLIQUE,CLIQUE-020,rnn-hs,99,max-entry-ratio,10.85983203125,0.2,471605,1887052,2358657
3,DREAM,2359416,DBLP,CLIQUE,CLIQUE-040,rnn-hs,171,max-entry-ratio,8.0670029296875,0.4,938037,1415458,2353495
4,DREAM,2359416,DBLP,CLIQUE,CLIQUE-060,rnn-hs,226,max-entry-ratio,4.97145458984375,0.6,1406325,943724,2350049
5,DREAM,2359416,DBLP,CLIQUE,CLIQUE-080,rnn-hs,273,max-entry-ratio,2.265291076660157,0.8,1883189,471862,2355051

